"out","nb_article","annee"
"'sport performance|physical performance|velocity|ball velocity'","1.0","2011.0"
"'sport performance|physical performance|mobility performance|mobility', 'sport performance|health|rehabilitation'","1.0","2011.0"
"'sport performance|health|injuries|foot and ankle injuries|achilles tendon rupture'","1.0","2011.0"
"'sport performance|technical performance|coordination', 'sport performance|technical performance|balance performance|proprioception', 'sport performance|performance recovery|faster recovery', 'sport performance|health|injuries|foot and ankle injuries|ankle sprain'","1.0","2011.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physical performance|exercise performance'","1.0","2011.0"
"'sport performance|mental performance|psychomotor performance'","1.0","2011.0"
"'sport performance|health|injuries|lower limb injuries|hamstring injury'","1.0","2011.0"
"'sport performance|performance recovery|physiological recovery|muscle soreness', 'sport performance|physical performance|strength performance|maximal voluntary contraction'","1.0","2011.0"
"'sport performance|physical performance|physical characteristics', 'sport performance|technical performance|agility'","1.0","2011.0"
"'sport performance|mental performance|cognitive performance|reaction time'","1.0","2011.0"
"'sport performance|physiological performance|heart rate', 'sport performance|performance recovery|physical recovery|recovery of cycling performance', 'sport performance|mental performance|perceived exertion'","1.0","2011.0"
"'sport performance|technical performance|agility'","1.0","2011.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2011.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|physical performance|strength performance|maximum strength'","1.0","2011.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|menstrual dysfunction'","1.0","2011.0"
"'sport performance|performance recovery|physiological recovery|muscle damage', 'health|injuries +  illness prevention|physiologic disturbances|oxidative stress|oxidative damage'","1.0","2011.0"
"'sport performance|physiological performance|cardiorespiratory performance|cardiorespiratory fitness', 'sport performance|mental performance|cognitive performance|executive function|working memory'","1.0","2011.0"
"'sport performance|technical performance|agility', 'sport performance|physical performance|power performance|anaerobic power'","1.0","2011.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|mental performance|perceived exertion'","1.0","2011.0"
"'sport performance|physiological performance|body composition|muscle mass', 'sport performance|physiological performance|bone health|bone mass'","1.0","2011.0"
"'sport performance|physical performance|exercise performance', 'hemodynamics|vasodilation'","1.0","2011.0"
"'sport performance|physical performance|strength performance|maximum strength'","1.0","2011.0"
"'sport performance|performance recovery|recovery process'","1.0","2011.0"
"'sport performance|physical performance|endurance performance', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|dehydration'","1.0","2011.0"
"'sport performance|physiological performance|homeostasis|blood pressure'","1.0","2011.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physiological performance|homeostasis|blood glucose homeostasis|glucose levels'","1.0","2011.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|inflammatory response'","1.0","2011.0"
"'sport performance|health|rehabilitation', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|adverse event'","1.0","2011.0"
"'sport performance|health|injuries|lower limb injuries'","1.0","2011.0"
"'sport performance|physiological performance|bone health|bone loss'","1.0","2011.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|shooting accuracy'","1.0","2011.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physical performance|endurance performance', 'sport performance|performance recovery|physiological recovery|muscle damage'","1.0","2011.0"
"'sport performance|physiological performance|body composition|body fat'","1.0","2011.0"
"'sport performance|physical performance|strength performance|muscle strength|maximal muscle strength', 'sport performance|physical performance|endurance performance', 'sport performance|physical performance|power performance|aerobic power', 'sport performance|physical performance|endurance performance|endurance capacity'","1.0","2011.0"
"'sport performance|mental performance|perceived exertion'","1.0","2011.0"
"'sport performance|physical performance|strength performance|muscle strength', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2011.0"
"'sport performance|physiological performance|postactivation potentiation', 'sport performance|physiological performance|force generation'","1.0","2011.0"
"'sport performance|mental performance', 'specific environnement adaptations|exercise performance in hot and humid environments|physiological strain|thermal strain|core body temperature'","1.0","2011.0"
"'sport performance|physical performance|endurance performance|cardiorespiratory endurance'","1.0","2011.0"
"'technical performance|skill performance|motor skill performance|fine motor skill performance|motor performance', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2011.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance', 'sport performance|health|rehabilitation|functional rehabilitation|neuromuscular control'","1.0","2011.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen stores'","1.0","2011.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen resynthesis'","1.0","2011.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|physical performance|flexibility performance|muscle stiffness'","1.0","2011.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|haematocrit'","1.0","2011.0"
"'sport performance|physiological performance|muscle adaptation'","1.0","2011.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance', 'sport performance|physical performance|exercise performance'","1.0","2011.0"
"'sport performance|mental performance|mental health|mental disorders'","1.0","2011.0"
"'sport performance|physical performance|velocity', 'sport performance|health|rehabilitation'","1.0","2011.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","9.0","2005.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","9.0","2005.0"
"'sport performance|health|rehabilitation'","8.0","2005.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","7.0","2005.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","5.0","2005.0"
"'sport performance|physiological performance|heart rate'","4.0","2005.0"
"'sport performance|physical performance|strength performance|muscle strength'","4.0","2005.0"
"'sport performance|performance recovery|physiological recovery|muscle damage'","3.0","2005.0"
"'sport performance|physical performance|exercise performance'","3.0","2005.0"
"'sport performance|physical performance|velocity'","3.0","2005.0"
"'sport performance|mental performance|emotion management|stress management|stress', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|oxidative stress'","2.0","2005.0"
"'sport performance|physiological performance|specific environnement adaptations|hydration'","2.0","2005.0"
"'sport performance|physical performance|power performance|peak power output'","2.0","2005.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|dehydration'","2.0","2005.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","2.0","2005.0"
"'sport performance|physiological performance|inflammation'","2.0","2005.0"
"'sport performance|mental performance|emotion management|stress management|stress'","2.0","2005.0"
"'sport performance|performance recovery|physiological recovery|muscle soreness'","2.0","2005.0"
"'sport performance|physiological performance|body composition', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2005.0"
"'sport performance|technical performance|coordination|arm coordination'","1.0","2005.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|physical performance|endurance performance|muscular endurance', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2005.0"
"'sport performance|mental performance|emotion management|stress management', 'sport performance|mental performance|psychological skills|anxiety control|anxiety', 'sport performance|mental performance|mental health|mental disorders|depressive symptoms'","1.0","2005.0"
"'sport performance|health|injuries|lower limb injuries|hamstring injury'","1.0","2005.0"
"'sport performance|physiological performance|blood flow'","1.0","2005.0"
"'sport performance|health|rehabilitation', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2005.0"
"'sport performance|physical performance|power performance|relative power'","1.0","2005.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|injuries treatment|healing'","1.0","2005.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume', 'physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|sweating|sweat loss'","1.0","2005.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","2005.0"
"'sport performance|performance recovery|physiological recovery|collagen synthesis'","1.0","2005.0"
"'sport performance|physiological performance|stroke volume'","1.0","2005.0"
"'sport performance|physiological performance|homeostasis'","1.0","2005.0"
"'sport performance|physical performance'","1.0","2005.0"
"'sport performance|health|rehabilitation', 'sport performance|economical|cost-effectiveness'","1.0","2005.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","2005.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|gastrointestinal discomfort'","1.0","2005.0"
"'sport performance|performance recovery|physiological recovery|electrolyte balance|electrolyte loss'","1.0","2005.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|haematocrit', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","2005.0"
"'sport performance|mental performance|emotion management|mood', 'sport performance|mental performance|emotion management|mood|mood state', 'sport performance|performance recovery', 'sport performance|health|rehabilitation|reflex control|reflex'","1.0","2005.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|functional rehabilitation|neuromuscular control'","1.0","2005.0"
"'health|injuries +  illness prevention|physiologic disturbances|oxidative stress|oxidative damage'","1.0","2005.0"
"'sport performance|health|organ system/region illnesses|respiratory illnesses|congestion'","1.0","2005.0"
"'sport performance|physiological performance|body composition|weight loss', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|adverse event'","1.0","2005.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|adverse event'","1.0","2005.0"
"'sport performance|physiological performance|homeostasis', 'sport performance|physiological performance|homeostasis|restore homeostasis'","1.0","2005.0"
"'sport performance|physical performance|endurance performance|aerobic performance|aerobic endurance', 'sport performance|mental performance|emotion management|stress management|stress'","1.0","2005.0"
"'sport performance|health|injuries|spine injuries'","1.0","2005.0"
"'sport performance|physical performance|endurance performance|endurance exercise performance', 'sport performance|physical performance|exercise performance'","1.0","2005.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|mental performance|psychological skills|anxiety control|anxiety'","1.0","2005.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|running economy'","1.0","2005.0"
"'sport performance|technical performance|skill performance|balance skills|dynamic balance'","1.0","2005.0"
"'physiological performance|specific environnement adaptations|altitude performance|erythropoiesis|erythropoietic activity', 'physiological performance|specific environnement adaptations|altitude performance|blood parameters|total hemoglobin mass', 'physiological performance|specific environnement adaptations|altitude performance|blood parameters|red blood cell volume'","1.0","2005.0"
"'sport performance|mental performance|emotion management|stress management|stress', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2005.0"
"'sport performance|performance recovery|psychological recovery|sleep'","1.0","2005.0"
"'sport performance|physiological performance|cardiorespiratory performance|cardiorespiratory fitness'","1.0","2005.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|sprint performance'","1.0","2005.0"
"'sport performance|health|rehabilitation|injuries treatment|healing'","1.0","2005.0"
"'sport performance|health|organ system/region illnesses|cardiovascular illnesses|chest pain', 'sport performance|health|organ system/region illnesses|respiratory illnesses|cough'","1.0","2005.0"
"'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|weight gain'","1.0","2005.0"
"'sport performance|health|injuries +  illness prevention|biomechanical deficit|postural dysfunction'","1.0","2005.0"
"'sport performance|physiological performance|bone health|bone loss'","1.0","2005.0"
"'health|rehabilitation|restore balance|muscular balance rehabilitation|muscle flexibility'","1.0","2005.0"
"'sport performance|physical performance', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2005.0"
"'sport performance|performance recovery|recovery time'","1.0","2005.0"
"'sport performance|physiological performance|body composition', 'specific environnement adaptations|exercise performance in hot and humid environments|physiological strain|thermal strain|thermoregulation', 'sport performance|physical performance|exercise performance'","1.0","2005.0"
"'sport performance|health|rehabilitation|reflex control|reflex'","1.0","2005.0"
"'sport performance|physiological performance|body composition', 'sport performance|health|rehabilitation'","1.0","2005.0"
"'sport performance|physiological performance|specific environnement adaptations|hydration', 'sport performance|mental performance|perceived exertion'","1.0","2005.0"
"'sport performance|health|rehabilitation', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2005.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physiological performance|stroke volume'","1.0","2005.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","2005.0"
"'sport performance|physiological performance|heart rate', 'sport performance|mental performance|emotion management|stress management|stress'","1.0","2005.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|physiological performance|homeostasis', 'sport performance|physiological performance|homeostasis|ion homeostasis'","1.0","2005.0"
"'sport performance|performance recovery|recovery from injury'","1.0","2005.0"
"'sport performance|health|rehabilitation', 'sport performance|health|reconditioning'","1.0","2005.0"
"'sport performance|physical performance|endurance performance|aerobic performance'","1.0","2005.0"
"'technical performance|skill performance|motor skill performance|fine motor skill performance|motor performance', 'sport performance|health|injuries +  illness prevention|biomechanical deficit|postural dysfunction'","1.0","2005.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","2005.0"
"'sport performance|mental performance|emotion management|mood', 'sport performance|mental performance|cognitive performance|cognitive function'","1.0","2005.0"
"'sport performance|health|injuries|foot and ankle injuries|ankle sprain', 'sport performance|health|injuries|knees injuries|medial collateral knee ligament injury'","1.0","2005.0"
"'sport performance|physiological performance|heart rate', 'sport performance|physical performance|exercise performance'","1.0","2005.0"
"""sport performance|health|injuries|knees injuries|jumper's knee"", 'sport performance|health|rehabilitation'","1.0","2005.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2005.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|hypoxic ventilatory response'","1.0","2005.0"
"'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen concentrations', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2005.0"
"'sport performance|health|rehabilitation|joint range of motion'","1.0","2005.0"
"""sport performance|health|injuries|knees injuries|jumper's knee""","1.0","2005.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|haematocrit'","1.0","2005.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|oxidative stress'","1.0","2005.0"
"'sport performance|mental performance|cognitive performance|vigilance', 'technical performance|skill performance|motor skill performance|gross motor skill performance|running performance'","1.0","2005.0"
"'sport performance|physical performance|exercise performance', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2005.0"
"'sport performance|performance recovery|physiological recovery|muscle soreness', 'sport performance|health|rehabilitation|injuries treatment|healing'","1.0","2005.0"
"'sport performance|technical performance|coordination', 'sport performance|health|rehabilitation'","1.0","2005.0"
"'sport performance|physiological performance|inflammation', 'sport performance|health|rehabilitation|injuries treatment|healing'","1.0","2005.0"
"'sport performance|physiological performance|heart rate', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2005.0"
"'physiological performance|specific environnement adaptations|altitude performance|blood parameters|haemoglobin concentration'","1.0","2005.0"
"'sport performance|physical performance|strength performance|maximal voluntary contraction', 'sport performance|performance recovery|physiological recovery|muscle damage'","1.0","2005.0"
"'sport performance|physical performance|endurance performance|endurance capacity'","1.0","2005.0"
"'sport performance|physical performance|endurance performance'","1.0","2005.0"
"'sport performance|physiological performance|muscle metabolism|muscle energy balance'","1.0","2005.0"
"'sport performance|performance recovery|physiological recovery|muscle repair', 'sport performance|health|injuries|lower limb injuries|hamstring injury', 'sport performance|health|rehabilitation'","1.0","2005.0"
"'sport performance|performance recovery|psychological recovery|sleep', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|insomnia', 'sport performance|performance recovery|psychological recovery|sleep|sleep hygiene'","1.0","2005.0"
"'sport performance|physiological performance|cardiorespiratory performance|cardiorespiratory fitness', 'sport performance|physical performance|endurance performance'","1.0","2005.0"
"'sport performance|performance recovery|psychological recovery|sleep', 'sport performance|performance recovery|psychological recovery|sleep|sleep quality'","1.0","2005.0"
"'sport performance|mental performance|cognitive performance|vigilance'","1.0","2005.0"
"'sport performance|physical performance|power performance|aerobic power', 'sport performance|physiological performance|muscle metabolism|muscle phosphocreatine'","1.0","2005.0"
"'sport performance|mental performance|cognitive performance', 'sport performance|mental performance|cognitive performance|cognitive function'","1.0","2005.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue', 'sport performance|health|organ system/region illnesses|neurological illnesses|chronic fatigue'","1.0","2005.0"
"'sport performance|physiological performance|body composition'","1.0","2005.0"
"'sport performance|physical performance', 'sport performance|physiological performance|homeostasis', 'sport performance|physiological performance|homeostasis|skeletal muscle homeostasis'","1.0","2005.0"
"'sport performance|physiological performance|muscular activation'","1.0","2005.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|menstrual dysfunction'","1.0","2005.0"
"'sport performance|mental performance|mental health|mental disorders|depression'","1.0","2005.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","11.0","2002.0"
"'sport performance|health|rehabilitation'","9.0","2002.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","6.0","2002.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","4.0","2002.0"
"'sport performance|physiological performance|body composition'","3.0","2002.0"
"'sport performance|physical performance|endurance performance'","3.0","2002.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance'","3.0","2002.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physical performance|endurance performance|endurance exercise performance'","2.0","2002.0"
"'sport performance|technical performance|balance performance|proprioception', 'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|functional rehabilitation|neuromuscular control'","2.0","2002.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","2.0","2002.0"
"'sport performance|physical performance|strength performance|muscle strength'","2.0","2002.0"
"'sport performance|physical performance|velocity'","2.0","2002.0"
"'sport performance|physiological performance|heart rate'","2.0","2002.0"
"'sport performance|physiological performance|body composition|muscle mass'","2.0","2002.0"
"'sport performance|physiological performance|fat metabolism', 'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|weight gain'","1.0","2002.0"
"'sport performance|physiological performance|muscle metabolism|lactate levels'","1.0","2002.0"
"'sport performance|mental performance|cognitive performance|vigilance', 'sport performance|mental performance|cognitive performance|cognitive function'","1.0","2002.0"
"'sport performance|technical performance|motor ability|jumping ability', 'sport performance|physical performance|power performance|muscle power', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2002.0"
"'sport performance|physiological performance|body composition', 'sport performance|physiological performance|body composition|muscle mass'","1.0","2002.0"
"'sport performance|physiological performance|body composition', 'sport performance|physiological performance|body composition|weight loss', 'sport performance|physiological performance|body composition|fat loss', 'sport performance|physiological performance|immunity', 'physiological performance|specific environnement adaptations|altitude performance|altitude adaptations|training adaptations', 'sport performance|physiological performance|bone density', 'sport performance|physiological performance|body composition|body fat'","1.0","2002.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|physiological performance|body composition|body fat'","1.0","2002.0"
"'sport performance|physical performance|endurance performance', 'sport performance|physiological performance|muscle metabolism|muscle glycogen', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen levels', 'sport performance|physiological performance|muscle metabolism|muscle glycogen|muscle glycogen stores'","1.0","2002.0"
"'sport performance|physical performance|endurance performance|cardiorespiratory endurance', 'physiological performance|specific environnement adaptations|altitude performance|high-altitude illnesses|fatigue resistance'","1.0","2002.0"
"'sport performance|health|rehabilitation|injuries treatment|healing', 'health|rehabilitation|injuries treatment|healing|bone healing'","1.0","2002.0"
"'mental performance|mental health|mental disorders|eating disorder|anorexia'","1.0","2002.0"
"'sport performance|health|injuries|spine injuries|thoracic outlet syndrome'","1.0","2002.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|lactate threshold'","1.0","2002.0"
"'sport performance|mental performance|cognitive performance'","1.0","2002.0"
"'sport performance|physiological performance|energy cost'","1.0","2002.0"
"'sport performance|physiological performance|cardiorespiratory performance|cardiorespiratory fitness', 'sport performance|mental performance|perceived exertion'","1.0","2002.0"
"'sport performance|physical performance|strength performance|muscle strength', 'sport performance|physical performance|power performance|muscle power'","1.0","2002.0"
"'sport performance|performance recovery|physiological recovery|recovery of blood pressure', 'sport performance|mental performance|emotion management|stress management|stress'","1.0","2002.0"
"'specific environnement adaptations|exercise performance in hot and humid environments|physiological strain|thermal strain|thermoregulation', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|dehydration'","1.0","2002.0"
"'sport performance|health|injuries|foot and ankle injuries|ankle sprain'","1.0","2002.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|fluid balance'","1.0","2002.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|health|rehabilitation|endurance development|cardiovascular endurance'","1.0","2002.0"
"'sport performance|performance recovery|faster recovery'","1.0","2002.0"
"'sport performance|mental performance|emotion management|stress management|stress'","1.0","2002.0"
"'sport performance|physiological performance|immunity'","1.0","2002.0"
"'sport performance|performance recovery|physiological recovery|muscle soreness'","1.0","2002.0"
"'sport performance|physical performance|endurance performance|aerobic performance|aerobic endurance', 'sport performance|mental performance'","1.0","2002.0"
"'sport performance|performance recovery|physiological recovery|muscle damage'","1.0","2002.0"
"'sport performance|physical performance|strength performance|muscle strength', 'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","1.0","2002.0"
"'physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|physiological strain|thermoregulatory strain'","1.0","2002.0"
"'sport performance|physiological performance|specific environnement adaptations|sea level performance'","1.0","2002.0"
"'physiological performance|specific environnement adaptations|altitude performance|erythropoiesis|epo levels', 'physiological performance|specific environnement adaptations|altitude performance|erythropoiesis|erythropoietin production'","1.0","2002.0"
"'sport performance|performance recovery|physiological recovery|muscle damage', 'sport performance|performance recovery|faster recovery'","1.0","2002.0"
"'sport performance|physical performance|endurance performance|endurance exercise performance'","1.0","2002.0"
"'sport performance|health|injuries|shoulder injuries|shoulder dislocation', 'sport performance|health|rehabilitation'","1.0","2002.0"
"'sport performance|physical performance|exercise performance'","1.0","2002.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|haematocrit', 'sport performance|physiological performance|specific environnement adaptations|altitude performance|erythropoiesis'","1.0","2002.0"
"'sport performance|performance recovery|physical recovery|muscle relaxation', 'sport performance|physiological performance|muscle metabolism|muscle phosphocreatine', 'sport performance|health|organ system/region illnesses|neurological illnesses|muscle weakness', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2002.0"
"'sport performance|mental performance|cognitive performance|reaction time'","1.0","2002.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max', 'sport performance|physical performance|endurance performance|endurance capacity'","1.0","2002.0"
"'sport performance|health|organ system/region illnesses|gastrointestinal illnesses|weight gain', 'sport performance|health|injuries +  illness prevention|physiologic disturbances|hormonal disturbances'","1.0","2002.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|rehydration', 'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance'","1.0","2002.0"
"'sport performance|health|organ system/region illnesses|respiratory illnesses|wheezing'","1.0","2002.0"
"'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic threshold'","1.0","2002.0"
"'sport performance|performance recovery|recovery time'","1.0","2002.0"
"'sport performance|physiological performance|muscle oxygenation'","1.0","2002.0"
"'skill performance|motor skill performance|gross motor skill performance|running performance|running economy', 'sport performance|physical performance|flexibility performance|limb stiffness'","1.0","2002.0"
"'technical performance|skill performance|motor skill performance|gross motor skill performance|cycling performance', 'sport performance|physical performance|physical work capacity', 'sport performance|physical performance|exercise performance'","1.0","2002.0"
"'sport performance|mental performance|emotion management|stress management|stress', 'sport performance|mental performance|emotion management|stress management|psychological stress'","1.0","2002.0"
"'sport performance|physiological performance|body composition', 'sport performance|physical performance|exercise performance'","1.0","2002.0"
"'sport performance|performance recovery|physical recovery|overtraining'","1.0","2002.0"
"'sport performance|physical performance|strength performance|muscle hypertrophy'","1.0","2002.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|erythropoiesis', 'physiological performance|specific environnement adaptations|altitude performance|erythropoiesis|erythropoietin production', 'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","1.0","2002.0"
"'sport performance|health|rehabilitation', 'sport performance|health|rehabilitation|injuries treatment|healing'","1.0","2002.0"
"'sport performance|physiological performance|muscle metabolism', 'sport performance|physiological performance|muscle metabolism|muscle glycogen'","1.0","2002.0"
"'sport performance|physiological performance|body composition|muscle mass', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","1.0","2002.0"
"'sport performance|physical performance|endurance performance|aerobic performance'","1.0","2002.0"
"'sport performance|health|rehabilitation|reflex control|reflex'","1.0","2002.0"
"'sport performance|mental performance|psychological skills|anxiety control|anxiety'","1.0","2002.0"
"'sport performance|health|injuries|foot and ankle injuries|ankle sprain', 'sport performance|health|rehabilitation'","1.0","2002.0"
"'sport performance|physiological performance|homeostasis|blood pressure', 'sport performance|physiological performance|renal function', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2002.0"
"'sport performance|physiological performance|blood flow'","1.0","2002.0"
"'sport performance|physical performance|exercise performance', 'sport performance|physiological performance|specific environnement adaptations|altitude performance|blood parameters'","1.0","2002.0"
"'sport performance|physical performance|strength performance'","1.0","2002.0"
"'sport performance|health|injuries +  illness prevention|physiologic disturbances|dehydration'","1.0","2002.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|hematological variables'","1.0","2002.0"
"'sport performance|physiological performance|homeostasis'","1.0","2002.0"
"'sport performance|physical performance|endurance performance|anaerobic endurance performance|anaerobic performance'","1.0","2002.0"
"'sport performance|mental performance|mental health|mental disorders|mental fatigue'","1.0","2002.0"
"'sport performance|physiological performance|specific environnement adaptations|altitude performance|energy availability'","1.0","2002.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect', 'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","1.0","2002.0"
"'sport performance|physiological performance|bone density'","1.0","2002.0"
"'sport performance|health|rehabilitation'","10.0","2003.0"
"'sport performance|physical performance|endurance performance'","7.0","2003.0"
"'specific environnement adaptations|altitude performance|high-altitude illnesses|acute mountain sickness|fatigue'","6.0","2003.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|safety'","5.0","2003.0"
"'sport performance|physical performance|exercise performance'","5.0","2003.0"
"'sport performance|physiological performance|heart rate'","5.0","2003.0"
"'sport performance|mental performance|emotion management|stress management|stress'","5.0","2003.0"
"'health|injuries +  illness prevention|physiologic disturbances|adverse event|adverse effect'","4.0","2003.0"
"'sport performance|health|injuries|neurological injuries|concussion'","3.0","2003.0"
"'sport performance|physiological performance|specific environnement adaptations|exercise performance in hot and humid environments|plasma volume'","3.0","2003.0"
"'sport performance|physical performance|endurance performance|aerobic performance|vo2max'","3.0","2003.0"
"'sport performance|physical performance|strength performance|muscle strength'","3.0","2003.0"
"'sport performance|physical performance|velocity'","2.0","2003.0"
